

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   188.00000 -0.361775E+01  0.408131E+00 -0.361773E+01  0.413733E+00 -0.613377E+01  -1505.223  -1495.123  -1489.066     188
   189.00000 -0.361775E+01  0.408131E+00 -0.361771E+01  0.413766E+00 -0.613655E+01  -1511.432  -1502.146  -1496.926     189
   190.00000 -0.361775E+01  0.408222E+00 -0.361771E+01  0.413874E+00 -0.613930E+01  -1516.302  -1507.672  -1503.121     190
   191.00000 -0.361775E+01  0.408292E+00 -0.361771E+01  0.413968E+00 -0.614201E+01  -1521.870  -1513.367  -1508.957     191
   192.00000 -0.361775E+01  0.408292E+00 -0.361771E+01  0.414011E+00 -0.614469E+01  -1527.195  -1518.770  -1514.442     192
   193.00000 -0.361775E+01  0.408292E+00 -0.361771E+01  0.414054E+00 -0.614735E+01  -1532.441  -1524.075  -1519.800     193
   194.00000 -0.361775E+01  0.408313E+00 -0.361771E+01  0.414113E+00 -0.614997E+01  -1537.655  -1529.305  -1525.047     194
   195.00000 -0.361775E+01  0.408313E+00 -0.361771E+01  0.414156E+00 -0.615255E+01  -1542.866  -1534.506  -1530.241     195
   196.00000 -0.361775E+01  0.408313E+00 -0.361771E+01  0.414200E+00 -0.615511E+01  -1547.955  -1539.609  -1535.354     196
   197.00000 -0.361775E+01  0.408785E+00 -0.361772E+01  0.414672E+00 -0.615764E+01  -1553.010  -1544.665  -1540.411     197
   198.00000 -0.361775E+01  0.409160E+00 -0.361772E+01  0.415047E+00 -0.616014E+01  -1559.231  -1550.583  -1546.029     198
